رقم المنتج,الاسم (صيني),الاسم (إنجليزي),الكمية,سعر الشراء ($),حجم الصندوق,تكلفة التغليف (دينار),التكلفة الكلية واصل مغلف (دينار),سعر البيع القديم (دينار),سعر البيع الجديد (دينار),الربح الصافي للقطعة (دينار),ملاحظة التعديل
1,50W纯钢加热棒 YSH-50,50W pure steel heating rod YSH-50,8,2.48,S,1185,6050,12000,12000,5950,✅ بدون تغيير
2,100W纯钢加热棒 YSH-100,100W pure steel heating rod YSH-100,8,2.56,S,1185,6209,12500,12500,6291,✅ بدون تغيير
3,200W纯钢加热棒 YSH-200,200W pure steel heating rod YSH-200,8,2.58,S,1185,6248,12500,12500,6252,✅ بدون تغيير
4,Yee意牌水族皓源石英加热棒 100W,Yee brand aquarium quartz heating rod 100W,1,9.76,S,1185,20333,40500,45000,24667,🔼 رفع - منتج بريميوم
5,YEE黑武士加热棒  100W,YEE Black Warrior Heater 100W,5,3.52,S,1185,8088,16000,16000,7912,✅ بدون تغيير
6,yee迷你静音氧气泵3W B1,Xiaobai single-hole oxygen pump 3W,3,1.17,S,1185,3480,7000,7000,3520,✅ بدون تغيير
7,升级款-可替换纳米气盘 50mm,YEE 50mm Ball Mineral Bubble Diffuser,15,1.56,S,1185,4245,8500,8500,4255,✅ بدون تغيير
8,加强版1.5米/加厚加长,Enhanced version 1.5 meters/thickened and lengthened,10,0.37,M,1435,2160,4500,4500,2340,✅ بدون تغيير
9,【加厚气囊 经久耐用】1.7米,【Thickened airbag for durability】1.7 meters,10,0.92,M,1435,3239,6500,6500,3261,✅ بدون تغيير
10,Yee电动换水器20W 标配,High configuration 30W low water level,5,8.28,M,1435,17676,35500,35500,17824,✅ بدون تغيير
11,悬浮隔离盒大号,Large suspended isolation box,8,2.68,S,1185,6442,13000,13000,6558,✅ بدون تغيير
12,大号气动孵化盒（双房）,Large pneumatic incubator (double room),5,0.99,S,1185,3127,6500,6500,3373,✅ بدون تغيير
13,亚克力培养箱 20*10*10,Acrylic incubator 20*10*10,4,2.86,S,1185,6795,13500,13500,6705,✅ بدون تغيير
14,（蓝色）新升级6D 过滤棉 50*40 两片装,(Blue) New upgraded 6D filter cotton 50*40 two pieces,4,3.04,S,1185,7148,14500,14500,7352,✅ بدون تغيير
15,纳米培养环混合装,Nano Culture Ring Mixed Pack,8,1.31,M,1435,4005,8000,8000,3995,✅ بدون تغيير
16,高能量培菌砖,High energy culture bricks,5,0.83,S,1185,2813,5500,5500,2687,✅ بدون تغيير
17,Nepall 3D曲奇滤材 500g,3D filter material,6,1.67,M,1435,4710,9500,9500,4790,✅ بدون تغيير
18,十六合一滤材 2.5kg,16-in-1 filter material 2.5kg,5,2.61,M,1435,6555,13000,13000,6445,✅ بدون تغيير
19,六合一滤材 500g,Six-in-one filter material 500g,5,0.97,M,1435,3338,6500,6500,3162,✅ بدون تغيير
20,3W 油膜处理器,3W oil film processor,4,2.61,S,1185,6305,12500,12500,6195,✅ بدون تغيير
21,yee三色可调 3.5W 双排广角灯27cm,"Yee three-color adjustable 3.5W double-row light, 27cm",4,0.00,S,1185,1185,10000,12500,11315,🔼 رفع - هدية مجانية بقيمة سوقية عالية
22,鱼缸磁力刷  大号 蓝色强磁,"Aquarium magnetic cleaning brush, large size, strong magnet.",3,0.00,M,1435,1435,8000,8000,6565,✅ بدون تغيير
23,16mm牛筋管1.0米,1.0 meter of 16mm reinforced plastic tubing,5,0.00,S,1185,1185,5000,5000,3815,✅ بدون تغيير
24,超白水草缸400*230*250,400x230x250mm 5mm thick,2,6.28,L,1635,13955,28000,35000,21045,🔼 رفع - السوق يبيع 40-80 ألف
25,500x270x300mm 5mm厚,500x270x300mm 5mm thick,2,9.73,L,1635,20722,41500,55000,34278,🔼 رفع - السوق يبيع 60-120 ألف
26,600x300x350mm 5mm厚,600x300x350mm 5mm thick,2,12.52,L,1635,26194,52500,70000,43806,🔼 رفع - السوق يبيع 80-150 ألف
27,35×35×35  6mm 厚,35×35×35 6mm thick,2,8.59,L,1635,18486,37000,50000,31514,🔼 رفع - السوق يبيع 50-100 ألف
28,40X40X40cm 6mm厚,40X40X40cm 6mm thick,2,11.55,L,1635,24291,48500,65000,40709,🔼 رفع - السوق يبيع 70-150 ألف
29,60*40*40cm 8mm,60*40*40cm 8mm,2,18.17,L,1635,37276,74500,100000,62724,🔼 رفع - السوق يبيع 100-375 ألف
30,裸缸侧虑溪流缸60*15*15cm 6mm送水泵,Bare side stream tank 60*15*15cm 6mm water pump,2,17.30,L,1635,35570,71000,90000,54430,🔼 رفع - منتج متخصص نادر
31,Yee小型鱼配合饲料全效合一0.6mm75g,Yee Small Fish Feed All-in-One 0.6mm 75g,25,0.63,S,1185,2421,5000,5000,2579,✅ بدون تغيير - سلاح جذب
32,金鱼兰寿善玉菌+螺旋藻色扬配合饲料290g,Goldfish Compound Feed 290g Slow Sinking 3.0mm,15,1.80,S,1185,4715,9500,12000,7285,🔼 رفع - حجم كبير وقيمة عالية
