"AQUAVO — التسعير النهائي 2026 | شحن هجين (70%كمية+30%وزن) | 1$=1,520د",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
حوض:25% سخان/تربة:15% فلتر:30% غذاء:55% كيماوي:55% اختبار:60% فيتامين:65% علاج:70%,,,,,,,,,,,,,,,,
م,المنتج,الفئة,كمية,شراء$,شراء د,شحن/ق,خشب,التكلفة,سعر بيع,هامش%,ربح/ق,ربح كلي,خصم5%,خصم10%,نقاط,ذيل
1,50W pure steel heating rod YSH-50,سخان,8,2.48,3768,3177,0,6945,9450,0.2650793650793651,2505,20040,16.6,11.9,9,650
2,100W pure steel heating rod YSH-100,سخان,8,2.56,3896,3266,0,7162,10920,0.34413919413919414,3758,30064,15.9,11.3,9,850
3,200W pure steel heating rod YSH-200,سخان,8,2.58,3918,3266,0,7184,11850,0.3937552742616034,4666,37328,16.1,11.5,9,900
4,"Yee brand aquarium quartz heating rod, 100",سخان,1,9.76,14835,3292,0,18127,24850,0.27054325955734404,6723,6723,13.3,8.4,22,850
5,YEE Black Warrior Heater 100W,سخان,5,3.52,5352,3248,0,8600,14300,0.3986013986013986,5700,28500,13.3,8.5,11,300
6,Xiaobai single-hole oxygen pump 3W (non-ad,فلتر,3,1.17,1777,3106,0,4883,10600,0.5393396226415095,5717,17151,31.6,27.8,8,600
7,YEE 50mm Ball Mineral Bubble Diffuser,فيتامين,15,1.56,2371,3106,0,5477,8450,0.3518343195266272,2973,44595,64.3,62.3,18,200
8,Enhanced version 1.5 meters/thickened and ,إكسسوار,10,0.37,557,3062,0,3619,6300,0.4255555555555556,2681,26810,27.8,23.8,6,300
9,【Thickened airbag for durability】1.7 meter,إكسسوار,10,0.92,1392,3195,0,4587,8300,0.44734939759036146,3713,37130,32.9,29.2,8,300
10,High configuration 30W low water level,مكنسة تنضيف ,5,8.28,12588,3780,0,16368,27600,0.40695652173913044,11232,56160,27.9,23.9,25,350
11,Large suspended isolation box,إكسسوار,8,2.68,4068,3168,0,7236,11950,0.39447698744769877,4714,37712,30.1,26.2,11,950
12,Large pneumatic incubator (double room),إكسسوار,5,0.99,1505,3168,0,4673,8400,0.4436904761904762,3727,18635,32.6,28.9,8,400
13,Acrylic incubator 20*10*10,إكسسوار,4,2.86,4347,3257,0,7604,12300,0.38178861788617885,4696,18784,28.9,25,12,300
14,(Blue) New upgraded 6D filter cotton 50*40,فلتر,4,3.04,4624,3257,0,7881,12600,0.37452380952380954,4719,18876,28.3,24.3,12,600
15,Nano Culture Ring Mixed Pack,فلتر,8,1.31,1991,3611,0,5602,9600,0.4164583333333333,3998,31984,27.6,23.6,9,600
