name,price
محلول أزرق الميثيلين — 600 مل,10000
علف شامل — حبيبات دقيقة 0.2 مم — 210 جم,9500
تربة نباتات مائية مخصّبة,0
عبوة عيّنات أعلاف متنوعة,0
قطن فلتر 6D مطوّر — قطعتين,12597
حاضنة أكريليك شفافة — 20×10×10 سم,12300
مزيل ترسّبات كلسية — 200 مل,6200
روبيان ملحي مجفّف بالتبريد — 18 جم,6850
سخان كوارتز — 100 واط,24850
شرائط اختبار الماء 9 في 1 — 50 شريط,0
طقم اختبار الأمونيا والنيتريت,0
علف أسماك الزينة الصغيرة — 75 جم,6450
حوض زجاجي فائق الشفافية — Ultra Clear,592000
مواد ترشيح 16 في 1 احترافية — 2.5 كغم,15350
سخان ستيل مدرّع — غير قابل للكسر,74000
سخان الساموراي الأسود — 100 واط,14250
أنبوب بلاستيكي مقوّى 16 مم,1480
طعام روبيان الزينة — 260 جم,10850
مواد ترشيح 6 في 1 — 500 جم,9050
مكنسة رمل كهربائية — 20 واط,27600
مضخة هواء صغيرة هادئة — 3 واط,10600
علاج البقع البيضاء (الإيك) — 300 مل,9000
علف بيتا 3 في 1 — 15 جم,5850
مثبّت مياه مضاد للإجهاد — 500 مل,10850
ميزان حرارة رقمي ذكي,6900
إضاءة LED ثلاثية الألوان — 3.5 واط,10845
بيض أرتيميا مقشّر 80 جم — مع مُغذّي,8849
حاضنة هوائية كبيرة بغرفتين,8400
طعام سرطان الناسك مجفّف — 55 جم,10300
طوب ترشيح بكتيري عالي الكثافة,7595
علف أسماك الزينة — بروتين عالي,9500
محلول أزرق الميثيلين الكلاسيكي — 235 مل,11249
علف الفراشة كوي — 300 جم,8500
مادة ترشيح 3D كوكيز — 500 جم,10950
طعام رانشو الذهبية — سبيرولينا 290 جم,12500
معالج الأمونيا بالبروبيوتيك النشط,0
كبسولات بكتيريا نافعة — نيتروجين,0
حوض بانوراما 60 سم — مع فلتر ومضخة,75705
مزيل طحالب آمن — 500 مل,10800
فرشاة مغناطيسية كبيرة,10000
مسحوق مضاد بكتيري — 10 أكياس,8300
حلقات ترشيح نانو مختلطة,9587
ملح متعدد الفيتامينات — علبة 500 جم,9000
مزيل الطبقة الزيتية — 3 واط,11848
علف البيتا المقاتل — 130 جم,6993
مزيل طحالب —600 مل,9652
ملح أحواض متعدد الفيتامينات — 500 جم,8648
سيفون تغيير ماء 1.5 متر — نسخة مقوّاة بمضخة ضغط,1500
سيفون تغيير ماء 1.7 متر — بمضخة يدوية مقوّاة,3500
مزيل كلور ومثبّت مياه — 535 مل,6599
علف رانشو غارق — 500 جم,12348
صندوق عزل وولادة عائم — شفاف,11950
ناشر فقاعات كروي — 50 مم,9976
