page,item_code,product_code,requested_product_name,verification_status,official_source_url,official_product_title,excel_image_count,excel_image_files
Page 1,1.5.1.7,YEE-3006,50W pure steel heating rod YSH-50,official_family_only,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,1,images/001_total_B10_image1.png
Page 1,1.5.1.8,YEE-3007,100W pure steel heating rod YSH-100,official_family_only,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,0,
Page 1,1.5.1.9,YEE-3008,200W pure steel heating rod YSH-200,official_family_only,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,0,
Page 1,C4-1432-1,C4-1432,"Yee brand aquarium quartz heating rod, 100W",official_family_only,https://yeeaquarium.com/product/yee-wholesale-aquarium-glass-heater/,YEE Wholesale Aquarium Glass Heater,1,images/002_total_B13_image2.jpeg
Page 1,C4-1103-4,C4-1103,YEE Black Warrior Heater 100W,official_family_only,https://yeeaquarium.com/product/metal-aquarium-heater/,Metal Aquarium Heater,2,images/003_total_B14_image3.jpeg; images/005_total_D14_image5.jpeg
Page 1,03326,YTZ-300,Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300,official_family_only,https://yeeaquarium.com/product/yee-mini-aquarium-air-pump/,YEE Factory Wholesale High-Quality Mini Aquarium Air Pump 4.4cm Ultra Quiet,1,images/004_total_B15_image4.png
Page 1,07154,YGG-135,YEE 50mm Ball Mineral Bubble Diffuser,official_family_only,https://yeeaquarium.com/product/yee-aquarium-air-stone-oxygen-pump-air-diffuser/,YEE aquarium air stone Oxygen pump air diffuser,0,
Page 1,C5-1144-1a,C5-1144,Enhanced version 1.5 meters / thickened and lengthened,official_family_only,https://yeeaquarium.com/product/electric-aquarium-gravel-cleaner/,Electric Aquarium Gravel Cleaner,1,images/006_total_B17_image6.jpeg
Page 1,1.8.3.2,YEE-3621,[Thickened airbag for durability] 1.7 meters,official_family_only,https://yeeaquarium.com/product/electric-aquarium-gravel-cleaner/,Electric Aquarium Gravel Cleaner,1,images/007_total_B18_image7.jpeg
Page 2,06255,YXL-003,400x230x250mm 5mm thick,official_family_only,https://yeeaquarium.com/product/small-glass-fish-tank/,Small Glass Fish Tank,0,
Page 2,05380,YKK-50,500x270x300mm 5mm thick,official_family_only,https://yeeaquarium.com/product/small-glass-fish-tank/,Small Glass Fish Tank,0,
Page 2,05381,YKK-60,600x300x350mm 5mm thick,official_family_only,https://yeeaquarium.com/product/small-glass-fish-tank/,Small Glass Fish Tank,1,images/022_total_B35_image22.jpeg
Page 2,16932,YEE-1090,35x35x35 6mm thick,not_found_on_official_site,,,0,
Page 2,05662,YCG-40,40x40x40cm 6mm thick,not_found_on_official_site,,,0,
Page 2,C5-1062-1,C5-1062,60x40x40cm 8mm,not_found_on_official_site,,,0,
Page 2,C5-1123-2,C5-1123,Bare side stream tank 60x15x15cm 6mm water pump,official_family_only,https://yeeaquarium.com/product/yee-wholesale-desktop-side-filter-aquarium/,YEE Wholesale Desktop Side Filter Aquarium,1,images/023_total_B39_image23.jpeg
Page 2,C1-1113-2,C1-1113,Yee Small Fish Feed All-in-One 0.6mm 75g,official_family_only,https://yeeaquarium.com/product/micro-pellets-small-fish-food/,Micro Pellets Small Fish Food,1,images/024_total_B44_image24.png
Page 2,C1-1127-1,C1-1127,Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm,official_family_only,https://yeeaquarium.com/product/yee-wholesale-goldfish-fish-food/,YEE Wholesale Goldfish Fish Food,1,images/025_total_B45_image25.png
Page 2,C1-1073-1a,C1-1073,Betta fish food 0.8mm 130g New,not_found_on_official_site,,,1,images/026_total_B46_image26.jpeg
Page 2,C1-1082-5,C1-1082,Imitation red worm feed 0.5mm 115g,not_found_on_official_site,,,1,images/027_total_B47_image27.png
Page 2,C1-1065-1,C1-1065,Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag,not_found_on_official_site,,,1,images/028_total_B48_image28.png
Page 2,C1-1066-2,C1-1066,[40% High Protein] Special Food for Ornamental Shrimp 260g,not_found_on_official_site,,,1,images/029_total_B49_image29.png
Page 2,03446a,YYY-078,New Shelled Eggs (80g 150ml) White Bottle + Feeder,official_family_only,https://yeeaquarium.com/product/yee-wholesale-brine-shrimp-eggs-and-fish-food/,YEE Wholesale Brine Shrimp Eggs And Fish Food,1,images/030_total_B50_image30.png
Page 2,C1-1125-1,C1-1125,Yee Aqua-Hermit Crab Freeze-Dried Feast 55g,not_found_on_official_site,,,1,images/031_total_B51_image31.png
Page 3,C1-1082-2a,C1-1082,[All-in-one] Microparticles / 0.2mm / 210g,official_family_only,https://yeeaquarium.com/product/micro-pellets-small-fish-food/,Micro Pellets Small Fish Food,1,images/033_total_B53_image33.png
Page 3,C1-1134-6,C1-1134,"Ranchu goldfish formulated feed, 1.5mm diameter, sinks 500g per bag",official_family_only,https://yeeaquarium.com/product/yee-wholesale-goldfish-fish-food/,YEE Wholesale Goldfish Fish Food,1,images/034_total_B54_image34.png
Page 3,C1-1086-1,C1-1086,Yee Aquarium Freeze-dried Brine Shrimp Chunks 18g 225ml,official_family_only,https://yeeaquarium.com/product/brine-shrimp-fish-food/,Brine Shrimp Fish Food,1,images/035_total_B55_image35.jpeg
Page 3,C1-1124-1,C1-1124,Yee Brand 3-in-1 Betta Fish Food 15g,official_family_only,https://yeeaquarium.com/product/15g-micro-pellets-fish-food/,15g micro pellets fish food,1,images/036_total_B56_image36.png
Page 3,12420,YYH-125,White Spot Cleaner 300ml,not_found_on_official_site,,,1,images/037_total_B57_image37.jpeg
Page 3,19768a,YYH-207,Methylene blue solution 600ml,not_found_on_official_site,,,1,images/038_total_B58_image38.png
Page 3,02856a,YYH-006,Bactericidal / antibacterial / instant powder 2g/bag x 10 bags [1 box],not_found_on_official_site,,,1,images/039_total_B59_image39.jpeg
Page 4,c2-1016-2,c2-1016,Yee Aquarium Cleansing Ammonia Series Active Probiotics 760ml,official_family_only,https://yeeaquarium.com/product/yee-wholesale-liquid-state-nitrifier/,Yee Wholesale Liquid State Nitrifier,1,images/040_total_B60_image40.jpeg
Page 4,c2-1016-1a,c2-1016,Yee Aquarium Cleansing Ammonia Series Active Probiotics 400ml,official_family_only,https://yeeaquarium.com/product/yee-wholesale-liquid-state-nitrifier/,Yee Wholesale Liquid State Nitrifier,1,images/040_total_B60_image40.jpeg
Page 4,02924,YYH-039,Yee Blue Classic - Chlorine Removal Water Stabilizer 535ml,not_found_on_official_site,,,1,images/041_total_B62_image41.png
Page 4,16940,YYH-173,Anti-stress water stabilizer 500ml New style,not_found_on_official_site,,,1,images/042_total_B63_image42.png
Page 4,C3-1010-3,C3-1010,[Ammonia nitrogen tester] can test about 60 times / accurate and fast,not_found_on_official_site,,,1,images/043_total_B64_image43.png
Page 4,C3-1010-1,C3-1010,[Nitrite test kit] can test about 100 times / accurate and fast,not_found_on_official_site,,,1,images/043_total_B64_image43.png
Page 4,C4-1123-1a,C4-1123,[Novice Level 50] 9-in-1 / Bucket / With Comparison Chart,not_found_on_official_site,,,1,images/044_total_B66_image44.png
Page 4,C2-1005-1,C2-1005,Yee Aquarium Nitrifying Bacteria + Probiotics Capsules 50 capsules,not_found_on_official_site,,,1,images/045_total_B67_image45.png
Page 4,C2-1005-2,C2-1005,Yee Aquarium Nitrifying Bacteria + Probiotics Capsules 100 Capsules,not_found_on_official_site,,,1,images/045_total_B67_image45.png
Page 4,19429,YYH-189,Algaecide 500ml New Style,not_found_on_official_site,,,1,images/046_total_B69_image46.png
Page 4,19939,YYH-216,Anti-stress water stabilizer 1000ml New style,not_found_on_official_site,,,1,images/047_total_B70_image47.png
Page 5,06834,YAN-804,Multivitamin mineral salt 500g,not_found_on_official_site,,,1,images/048_total_B71_image48.png
Page 5,01831,YAN-915,500G Multivitamin Salt Box YAN-915,not_found_on_official_site,,,1,images/049_total_B72_image49.png
Page 5,02938a,YYH-053,Yee Blue Classic - Methylene Blue Solution 235ml,not_found_on_official_site,,,1,images/050_total_B73_image50.png
Page 5,C4-1123-2a,C4-1123,[Refill] 9 in 1 / Refill / 50 pieces,not_found_on_official_site,,,1,images/051_total_B74_image51.png
Page 5,07509,YFF-049,Water grass mud fertility upgrade fine grain 1.5L,official_family_only,https://yeeaquarium.com/product/yee-wholesale-aquarium-soil/,YEE Wholesale Aquarium Soil,1,images/052_total_B75_image52.png
Page 5,07512,YFF-052,Water grass mud fertility upgrade coarse grain 3L,official_family_only,https://yeeaquarium.com/product/yee-wholesale-aquarium-soil/,YEE Wholesale Aquarium Soil,0,
Page 5,13343,PYD-200,Fish tank descaling agent 200ml,not_found_on_official_site,,,1,images/053_total_B77_image53.png
