number,image_file,sheet,from_cell,to_cell,from_row,from_col,to_row,to_col,drawing,source_media,picture_name,description,anchor_row_text,nearby_row_text
1,images/001_total_B10_image1.png,total,B10,B12,10,2,12,2,xl/drawings/drawing1.xml,xl/media/image1.png,ID_646D4E829D444ADEA13A7B20F2D1D220,,Row 10: A=1 | C=1.5.1.7 | D=YEE-3006 | E=50W纯钢加热棒 YSH-50 | F=50W pure steel heating rod YSH-50 | G=2.47887323943662 | H=8 | I=19.830985915492999,Row 9: G=（USD） | H=(PCS) | I=（USD） ; Row 10: A=1 | C=1.5.1.7 | D=YEE-3006 | E=50W纯钢加热棒 YSH-50 | F=50W pure steel heating rod YSH-50 | G=2.47887323943662 | H=8 | I=19.830985915492999 ; Row 11: A=2 | C=1.5.1.8 | D=YEE-3007 | E=100W纯钢加热棒 YSH-100 | F=100W pure steel heating rod YSH-100 | G=2.5633802816901401 | H=8 | I=20.507042253521099
2,images/002_total_B13_image2.jpeg,total,B13,B13,13,2,13,2,xl/drawings/drawing1.xml,xl/media/image2.jpeg,ID_BD7CA4EEC1EF4715BCDE5B8F2451AB57,,"Row 13: A=4 | C=C4-1432-1 | D=C4-1432 | E=Yee意牌水族皓源石英加热棒 100W | F=Yee brand aquarium quartz heating rod, 100W | G=9.76 | H=1 | I=9.76","Row 12: A=3 | C=1.5.1.9 | D=YEE-3008 | E=200W纯钢加热棒 YSH-200 | F=200W pure steel heating rod YSH-200 | G=2.57746478873239 | H=8 | I=20.619718309859099 ; Row 13: A=4 | C=C4-1432-1 | D=C4-1432 | E=Yee意牌水族皓源石英加热棒 100W | F=Yee brand aquarium quartz heating rod, 100W | G=9.76 | H=1 | I=9.76 ; Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169"
3,images/003_total_B14_image3.jpeg,total,B14,B14,14,2,14,2,xl/drawings/drawing1.xml,xl/media/image3.jpeg,ID_66BEB282CD614D1B9880463F48166FF4,undefined,Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169,"Row 13: A=4 | C=C4-1432-1 | D=C4-1432 | E=Yee意牌水族皓源石英加热棒 100W | F=Yee brand aquarium quartz heating rod, 100W | G=9.76 | H=1 | I=9.76 ; Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169 ; Row 15: A=6 | C=03326 | D=YTZ-300 | E=小白单孔氧气泵3W（不可调）YTZ-300 | F=Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300 | G=1.16901408450704 | H=3 | I=3.51"
4,images/004_total_B15_image4.png,total,B15,B15,15,2,15,2,xl/drawings/drawing1.xml,xl/media/image4.png,ID_6DD3C59F2304486DB8D78270FD536C9B,,Row 15: A=6 | C=03326 | D=YTZ-300 | E=小白单孔氧气泵3W（不可调）YTZ-300 | F=Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300 | G=1.16901408450704 | H=3 | I=3.51,Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169 ; Row 15: A=6 | C=03326 | D=YTZ-300 | E=小白单孔氧气泵3W（不可调）YTZ-300 | F=Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300 | G=1.16901408450704 | H=3 | I=3.51 ; Row 16: A=7 | C=07154 | D=YGG-135 | E=YEE 50mm 球形矿物质气泡扩散器 | F=YEE 50mm Ball Mineral Bubble Diffuser | G=1.56 | H=15 | I=23.4
5,images/005_total_D14_image5.jpeg,total,D14,E16,14,4,16,5,xl/drawings/drawing1.xml,xl/media/image5.jpeg,ID_7A97AADED8E74CAF89B2BECD24417593,,Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169,"Row 13: A=4 | C=C4-1432-1 | D=C4-1432 | E=Yee意牌水族皓源石英加热棒 100W | F=Yee brand aquarium quartz heating rod, 100W | G=9.76 | H=1 | I=9.76 ; Row 14: A=5 | C=C4-1103-4 | D=C4-1103 | E=YEE黑武士加热棒 100W | F=YEE Black Warrior Heater 100W | G=3.52112676056338 | H=5 | I=17.6056338028169 ; Row 15: A=6 | C=03326 | D=YTZ-300 | E=小白单孔氧气泵3W（不可调）YTZ-300 | F=Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300 | G=1.16901408450704 | H=3 | I=3.51"
6,images/006_total_B17_image6.jpeg,total,B17,B17,17,2,17,2,xl/drawings/drawing1.xml,xl/media/image6.jpeg,ID_BDEA7B914F8C45EF9096EB2032A92AB1,,Row 17: A=8 | C=C5-1144-1a | D=C5-1144 | E=加强版1.5米/加厚加长 | F=Enhanced version 1.5 meters/thickened and lengthened | G=0.36619718309859201 | H=10 | I=3.66,Row 16: A=7 | C=07154 | D=YGG-135 | E=YEE 50mm 球形矿物质气泡扩散器 | F=YEE 50mm Ball Mineral Bubble Diffuser | G=1.56 | H=15 | I=23.4 ; Row 17: A=8 | C=C5-1144-1a | D=C5-1144 | E=加强版1.5米/加厚加长 | F=Enhanced version 1.5 meters/thickened and lengthened | G=0.36619718309859201 | H=10 | I=3.66 ; Row 18: A=9 | C=1.8.3.2 | D=YEE-3621 | E=【加厚气囊 经久耐用】1.7米 | F=【Thickened airbag for durability】1.7 meters | G=0.91549295774647899 | H=10 | I=9.15
7,images/007_total_B18_image7.jpeg,total,B18,B18,18,2,18,2,xl/drawings/drawing1.xml,xl/media/image7.jpeg,ID_BEC13C83661B4294916DAFD7FC15D456,,Row 18: A=9 | C=1.8.3.2 | D=YEE-3621 | E=【加厚气囊 经久耐用】1.7米 | F=【Thickened airbag for durability】1.7 meters | G=0.91549295774647899 | H=10 | I=9.15,Row 17: A=8 | C=C5-1144-1a | D=C5-1144 | E=加强版1.5米/加厚加长 | F=Enhanced version 1.5 meters/thickened and lengthened | G=0.36619718309859201 | H=10 | I=3.66 ; Row 18: A=9 | C=1.8.3.2 | D=YEE-3621 | E=【加厚气囊 经久耐用】1.7米 | F=【Thickened airbag for durability】1.7 meters | G=0.91549295774647899 | H=10 | I=9.15 ; Row 19: A=10 | C=C4-1117-1 | D=C4-1117 | E=高配30W 低水位 | F=High configuration 30W low water level | G=8.28169014084507 | H=5 | I=41.41
8,images/008_total_B19_image8.jpeg,total,B19,B19,19,2,19,2,xl/drawings/drawing1.xml,xl/media/image8.jpeg,ID_FC341F1C5A1645A082B2F2CE4DE43AE3,,Row 19: A=10 | C=C4-1117-1 | D=C4-1117 | E=高配30W 低水位 | F=High configuration 30W low water level | G=8.28169014084507 | H=5 | I=41.41,Row 18: A=9 | C=1.8.3.2 | D=YEE-3621 | E=【加厚气囊 经久耐用】1.7米 | F=【Thickened airbag for durability】1.7 meters | G=0.91549295774647899 | H=10 | I=9.15 ; Row 19: A=10 | C=C4-1117-1 | D=C4-1117 | E=高配30W 低水位 | F=High configuration 30W low water level | G=8.28169014084507 | H=5 | I=41.41 ; Row 20: A=11 | C=C4-1008-1 | D=C4-1008 | E=悬浮隔离盒大号 | F=Large suspended isolation box | G=2.6760563380281699 | H=8 | I=21.41
9,images/009_total_B20_image9.png,total,B20,B20,20,2,20,2,xl/drawings/drawing1.xml,xl/media/image9.png,ID_B03D83915B504C649696664FF9A01085,,Row 20: A=11 | C=C4-1008-1 | D=C4-1008 | E=悬浮隔离盒大号 | F=Large suspended isolation box | G=2.6760563380281699 | H=8 | I=21.41,Row 19: A=10 | C=C4-1117-1 | D=C4-1117 | E=高配30W 低水位 | F=High configuration 30W low water level | G=8.28169014084507 | H=5 | I=41.41 ; Row 20: A=11 | C=C4-1008-1 | D=C4-1008 | E=悬浮隔离盒大号 | F=Large suspended isolation box | G=2.6760563380281699 | H=8 | I=21.41 ; Row 21: A=12 | C=02517 | D=YSL-506 | E=大号气动孵化盒（双房） | F=Large pneumatic incubator (double room) | G=0.99 | H=5 | I=4.95
10,images/010_total_B21_image10.png,total,B21,B21,21,2,21,2,xl/drawings/drawing1.xml,xl/media/image10.png,ID_4CC3DAC9872F4BF48F8A45C0346885D8,,Row 21: A=12 | C=02517 | D=YSL-506 | E=大号气动孵化盒（双房） | F=Large pneumatic incubator (double room) | G=0.99 | H=5 | I=4.95,Row 20: A=11 | C=C4-1008-1 | D=C4-1008 | E=悬浮隔离盒大号 | F=Large suspended isolation box | G=2.6760563380281699 | H=8 | I=21.41 ; Row 21: A=12 | C=02517 | D=YSL-506 | E=大号气动孵化盒（双房） | F=Large pneumatic incubator (double room) | G=0.99 | H=5 | I=4.95 ; Row 22: A=13 | C=02771 | D=YKL-018 | E=亚克力培养箱 20*10*10 | F=Acrylic incubator 20*10*10 | G=2.86 | H=4 | I=11.44
11,images/011_total_B22_image11.jpeg,total,B22,B22,22,2,22,2,xl/drawings/drawing1.xml,xl/media/image11.jpeg,ID_48E7B255F037442BBE21561E1287301F,,Row 22: A=13 | C=02771 | D=YKL-018 | E=亚克力培养箱 20*10*10 | F=Acrylic incubator 20*10*10 | G=2.86 | H=4 | I=11.44,Row 21: A=12 | C=02517 | D=YSL-506 | E=大号气动孵化盒（双房） | F=Large pneumatic incubator (double room) | G=0.99 | H=5 | I=4.95 ; Row 22: A=13 | C=02771 | D=YKL-018 | E=亚克力培养箱 20*10*10 | F=Acrylic incubator 20*10*10 | G=2.86 | H=4 | I=11.44 ; Row 23: A=14 | C=05617a | D=YLL-087 | E=（蓝色）新升级6D 过滤棉 50*40 两片装 | F=(Blue) New upgraded 6D filter cotton 50*40 two pieces | G=3.0422535211267601 | H=4 | I=12.17
12,images/012_total_B23_image12.jpeg,total,B23,B23,23,2,23,2,xl/drawings/drawing1.xml,xl/media/image12.jpeg,ID_1947C120103C4F3483EA0F9077E9B265,,Row 23: A=14 | C=05617a | D=YLL-087 | E=（蓝色）新升级6D 过滤棉 50*40 两片装 | F=(Blue) New upgraded 6D filter cotton 50*40 two pieces | G=3.0422535211267601 | H=4 | I=12.17,Row 22: A=13 | C=02771 | D=YKL-018 | E=亚克力培养箱 20*10*10 | F=Acrylic incubator 20*10*10 | G=2.86 | H=4 | I=11.44 ; Row 23: A=14 | C=05617a | D=YLL-087 | E=（蓝色）新升级6D 过滤棉 50*40 两片装 | F=(Blue) New upgraded 6D filter cotton 50*40 two pieces | G=3.0422535211267601 | H=4 | I=12.17 ; Row 24: A=15 | C=07116 | D=YFF-042 | E=纳米培养环混合装 | F=Nano Culture Ring Mixed Pack | G=1.31 | H=8 | I=10.48
13,images/013_total_B24_image13.jpeg,total,B24,B24,24,2,24,2,xl/drawings/drawing1.xml,xl/media/image13.jpeg,ID_723A1309D4BD4C0CB28302E76F18CF9D,,Row 24: A=15 | C=07116 | D=YFF-042 | E=纳米培养环混合装 | F=Nano Culture Ring Mixed Pack | G=1.31 | H=8 | I=10.48,Row 23: A=14 | C=05617a | D=YLL-087 | E=（蓝色）新升级6D 过滤棉 50*40 两片装 | F=(Blue) New upgraded 6D filter cotton 50*40 two pieces | G=3.0422535211267601 | H=4 | I=12.17 ; Row 24: A=15 | C=07116 | D=YFF-042 | E=纳米培养环混合装 | F=Nano Culture Ring Mixed Pack | G=1.31 | H=8 | I=10.48 ; Row 25: A=16 | C=17699a | D=YAA-009. | E=高能量培菌砖 | F=High energy culture bricks | G=0.83 | H=5 | I=4.1500000000000004
